nr,datetime
0,2024-04-05 11:01:17.291072000
1,2024-04-05 11:01:17.357738800
2,2024-04-05 11:01:17.424405600
3,2024-04-05 11:01:17.491072400
4,2024-04-05 11:01:17.557739200
5,2024-04-05 11:01:17.624406000
6,2024-04-05 11:01:17.691072800
7,2024-04-05 11:01:17.757739600
8,2024-04-05 11:01:17.824406400
9,2024-04-05 11:01:17.891073200
10,2024-04-05 11:01:17.957740000
11,2024-04-05 11:01:18.024406800
12,2024-04-05 11:01:18.091073600
13,2024-04-05 11:01:18.157740400
14,2024-04-05 11:01:18.224407200
15,2024-04-05 11:01:18.291074000
16,2024-04-05 11:01:18.357740800
17,2024-04-05 11:01:18.424407600
18,2024-04-05 11:01:18.491074400
19,2024-04-05 11:01:18.557741200
20,2024-04-05 11:01:18.624408000
21,2024-04-05 11:01:18.691074800
22,2024-04-05 11:01:18.757741600
23,2024-04-05 11:01:18.824408400
24,2024-04-05 11:01:18.891075200
25,2024-04-05 11:01:18.957742000
26,2024-04-05 11:01:19.024408800
27,2024-04-05 11:01:19.091075600
28,2024-04-05 11:01:19.157742400
29,2024-04-05 11:01:19.224409200
30,2024-04-05 11:01:19.291076000
31,2024-04-05 11:01:19.357742800
32,2024-04-05 11:01:19.424409600
33,2024-04-05 11:01:19.491076400
34,2024-04-05 11:01:19.557743200
35,2024-04-05 11:01:19.624410000
36,2024-04-05 11:01:19.691076800
37,2024-04-05 11:01:19.757743600
38,2024-04-05 11:01:19.824410400
39,2024-04-05 11:01:19.891077200
40,2024-04-05 11:01:19.957744000
41,2024-04-05 11:01:20.024410800
42,2024-04-05 11:01:20.091077600
43,2024-04-05 11:01:20.157744400
44,2024-04-05 11:01:20.224411200
45,2024-04-05 11:01:20.291078000
46,2024-04-05 11:01:20.357744800
47,2024-04-05 11:01:20.424411600
48,2024-04-05 11:01:20.491078400
49,2024-04-05 11:01:20.557745200
50,2024-04-05 11:01:20.624412000
51,2024-04-05 11:01:20.691078800
52,2024-04-05 11:01:20.757745600
53,2024-04-05 11:01:20.824412400
54,2024-04-05 11:01:20.891079200
55,2024-04-05 11:01:20.957746000
56,2024-04-05 11:01:21.024412800
57,2024-04-05 11:01:21.091079600
58,2024-04-05 11:01:21.157746400
59,2024-04-05 11:01:21.224413200
60,2024-04-05 11:01:21.291080000
61,2024-04-05 11:01:21.357746800
62,2024-04-05 11:01:21.424413600
63,2024-04-05 11:01:21.491080400
64,2024-04-05 11:01:21.557747200
65,2024-04-05 11:01:21.624414000
66,2024-04-05 11:01:21.691080800
67,2024-04-05 11:01:21.757747600
68,2024-04-05 11:01:21.824414400
69,2024-04-05 11:01:21.891081200
70,2024-04-05 11:01:21.957748000
71,2024-04-05 11:01:22.024414800
72,2024-04-05 11:01:22.091081600
73,2024-04-05 11:01:22.157748400
74,2024-04-05 11:01:22.224415200
75,2024-04-05 11:01:22.291082000
76,2024-04-05 11:01:22.357748800
77,2024-04-05 11:01:22.424415600
78,2024-04-05 11:01:22.491082400
79,2024-04-05 11:01:22.557749200
80,2024-04-05 11:01:22.624416000
81,2024-04-05 11:01:22.691082800
82,2024-04-05 11:01:22.757749600
83,2024-04-05 11:01:22.824416400
84,2024-04-05 11:01:22.891083200
85,2024-04-05 11:01:22.957750000
86,2024-04-05 11:01:23.024416800
87,2024-04-05 11:01:23.091083600
88,2024-04-05 11:01:23.157750400
89,2024-04-05 11:01:23.224417200
90,2024-04-05 11:01:23.291084000
91,2024-04-05 11:01:23.357750800
92,2024-04-05 11:01:23.424417600
93,2024-04-05 11:01:23.491084400
94,2024-04-05 11:01:23.557751200
95,2024-04-05 11:01:23.624418000
96,2024-04-05 11:01:23.691084800
97,2024-04-05 11:01:23.757751600
98,2024-04-05 11:01:23.824418400
99,2024-04-05 11:01:23.891085200
100,2024-04-05 11:01:23.957752000
101,2024-04-05 11:01:24.024418800
102,2024-04-05 11:01:24.091085600
103,2024-04-05 11:01:24.157752400
104,2024-04-05 11:01:24.224419200
105,2024-04-05 11:01:24.291086000
106,2024-04-05 11:01:24.357752800
107,2024-04-05 11:01:24.424419600
108,2024-04-05 11:01:24.491086400
109,2024-04-05 11:01:24.557753200
110,2024-04-05 11:01:24.624420000
111,2024-04-05 11:01:24.691086800
112,2024-04-05 11:01:24.757753600
113,2024-04-05 11:01:24.824420400
114,2024-04-05 11:01:24.891087200
115,2024-04-05 11:01:24.957754000
116,2024-04-05 11:01:25.024420800
117,2024-04-05 11:01:25.091087600
118,2024-04-05 11:01:25.157754400
119,2024-04-05 11:01:25.224421200
120,2024-04-05 11:01:25.291088000
121,2024-04-05 11:01:25.357754800
122,2024-04-05 11:01:25.424421600
123,2024-04-05 11:01:25.491088400
124,2024-04-05 11:01:25.557755200
125,2024-04-05 11:01:25.624422000
126,2024-04-05 11:01:25.691088800
127,2024-04-05 11:01:25.757755600
128,2024-04-05 11:01:25.824422400
129,2024-04-05 11:01:25.891089200
130,2024-04-05 11:01:25.957756000
131,2024-04-05 11:01:26.024422800
132,2024-04-05 11:01:26.091089600
133,2024-04-05 11:01:26.157756400
134,2024-04-05 11:01:26.224423200
135,2024-04-05 11:01:26.291090000
136,2024-04-05 11:01:26.357756800
137,2024-04-05 11:01:26.424423600
138,2024-04-05 11:01:26.491090400
139,2024-04-05 11:01:26.557757200
140,2024-04-05 11:01:26.624424000
141,2024-04-05 11:01:26.691090800
142,2024-04-05 11:01:26.757757600
143,2024-04-05 11:01:26.824424400
