,nr,datetime,x1,y1,x2,y2,lat,lon,height
0,898,2024-04-05 11:15:37.178702400,63.56,401.3,0.0,398.54,48.66507691824828,9.836343415847251,25.4
1,899,2024-04-05 11:15:37.245369200,63.89,401.32,0.0,398.56,48.665077215369934,9.83633990774817,25.4
2,900,2024-04-05 11:15:37.312036000,64.4,401.26,0.0,398.52,48.665077215369934,9.83633990774817,25.4
3,901,2024-04-05 11:15:37.378702800,64.69,401.25,0.0,398.44,48.665077521612325,9.836336023859156,25.4
4,902,2024-04-05 11:15:37.445369600,65.23,401.25,0.22,398.6,48.66507793843238,9.83633260833924,25.4
5,903,2024-04-05 11:15:37.512036400,65.59,401.29,0.4,398.51,48.66507793843238,9.83633260833924,25.4
6,904,2024-04-05 11:15:37.578703200,66.0,401.34,0.48,398.53,48.665078207103846,9.83632873775734,25.4
7,905,2024-04-05 11:15:37.645370000,66.51,401.38,0.6,398.54,48.6650785828987,9.836325436502255,25.4
8,906,2024-04-05 11:15:37.712036800,66.8,401.53,1.0,398.62,48.6650785828987,9.836325436502255,25.4
9,907,2024-04-05 11:15:37.778703600,67.23,401.48,1.0,398.69,48.6650788226189,9.83632152957869,25.4
10,908,2024-04-05 11:15:37.845370400,67.67,401.5,1.22,398.78,48.66507871013528,9.836317440817096,25.4
11,909,2024-04-05 11:15:37.912037200,68.02,401.7,1.35,399.0,48.66507871013528,9.836317440817096,25.4
12,910,2024-04-05 11:15:37.978704000,68.48,401.65,1.47,399.0,48.6650789251487,9.836313430782807,25.4
13,911,2024-04-05 11:15:38.045370800,68.87,401.69,1.66,398.79,48.66507908297484,9.836309703440506,25.4
14,912,2024-04-05 11:15:38.112037600,69.43,401.67,1.86,398.98,48.66507908297484,9.836309703440506,25.4
15,913,2024-04-05 11:15:38.178704400,69.77,401.69,2.2,398.77,48.66507932649624,9.83630564033338,25.4
16,914,2024-04-05 11:15:38.245371200,70.15,401.73,2.33,399.0,48.66507958078738,9.836301630973528,25.4
17,915,2024-04-05 11:15:38.312038000,70.66,401.75,2.49,399.18,48.66507958078738,9.836301630973528,25.4
18,916,2024-04-05 11:15:38.378704800,71.11,401.67,2.56,399.19,48.66507984029527,9.836297500422914,25.4
19,917,2024-04-05 11:15:38.445371600,71.61,401.78,2.73,399.04,48.66508004086196,9.836293372180943,25.4
20,918,2024-04-05 11:15:38.512038400,71.98,401.77,2.89,398.99,48.66508004086196,9.836293372180943,25.4
21,920,2024-04-05 11:15:38.645372000,72.92,401.62,3.35,399.0,48.66508058432539,9.836284994532187,25.4
22,921,2024-04-05 11:15:38.712038800,73.47,401.69,3.52,399.2,48.66508058432539,9.836284994532187,25.4
23,922,2024-04-05 11:15:38.778705600,73.79,401.63,3.69,399.02,48.66508087332424,9.836280868106018,25.4
24,923,2024-04-05 11:15:38.845372400,74.26,401.54,3.85,398.93,48.66508114846096,9.836276829226684,25.4
25,924,2024-04-05 11:15:38.912039200,74.68,401.45,4.17,398.77,48.66508114846096,9.836276829226684,25.4
26,925,2024-04-05 11:15:38.978706000,75.11,401.38,4.2,398.73,48.66508144949303,9.836272821241655,25.4
27,926,2024-04-05 11:15:39.045372800,75.61,401.42,4.37,398.92,48.6650816727706,9.836269052421622,25.4
28,927,2024-04-05 11:15:39.112039600,75.97,401.36,4.54,398.84,48.6650816727706,9.836269052421622,25.4
29,928,2024-04-05 11:15:39.178706400,76.64,401.42,4.64,398.83,48.66508196127474,9.836265153954445,25.4
30,929,2024-04-05 11:15:39.245373200,76.88,401.44,5.0,398.63,48.66508244072156,9.836261501552254,25.4
31,930,2024-04-05 11:15:39.312040000,77.43,401.4,5.02,398.61,48.66508244072156,9.836261501552254,25.4
32,931,2024-04-05 11:15:39.378706800,77.84,401.49,5.26,398.71,48.66508275210577,9.836257754703231,25.4
33,932,2024-04-05 11:15:39.445373600,78.17,401.47,5.47,398.57,48.66508321227244,9.836254014728258,25.4
34,933,2024-04-05 11:15:39.512040400,78.55,401.39,5.59,398.48,48.66508321227244,9.836254014728258,25.4
35,934,2024-04-05 11:15:39.578707200,78.97,401.2,5.71,398.38,48.665083571356966,9.836250385438428,25.4
36,935,2024-04-05 11:15:39.645374000,79.43,401.09,5.91,398.43,48.6650840358495,9.836246919854698,25.5
37,936,2024-04-05 11:15:39.712040800,79.85,400.82,6.34,398.42,48.6650840358495,9.836246919854698,25.5
38,937,2024-04-05 11:15:39.778707600,80.36,400.84,6.46,398.39,48.66508439813133,9.836243392430475,25.5
39,938,2024-04-05 11:15:39.845374400,80.74,400.81,6.59,398.31,48.66508460265128,9.836239721611015,25.5
40,939,2024-04-05 11:15:39.912041200,80.94,400.74,6.65,398.31,48.66508460265128,9.836239721611015,25.5
41,940,2024-04-05 11:15:39.978708000,81.24,400.75,6.79,398.13,48.66508493070939,9.83623625229195,25.5
42,941,2024-04-05 11:15:40.045374800,81.55,400.67,7.01,398.06,48.66508507109066,9.83623248098169,25.5
43,942,2024-04-05 11:15:40.112041599,82.17,400.58,7.31,398.18,48.66508507109066,9.83623248098169,25.5
44,943,2024-04-05 11:15:40.178708400,82.68,400.52,7.42,398.04,48.66508538059888,9.836229042349416,25.5
45,944,2024-04-05 11:15:40.245375200,82.94,400.54,7.51,398.21,48.6650857649277,9.836225439803515,25.5
46,945,2024-04-05 11:15:40.312042000,83.45,400.46,7.55,398.22,48.6650857649277,9.836225439803515,25.5
47,946,2024-04-05 11:15:40.378708800,83.67,400.4,7.61,398.23,48.66508605851583,9.836222038758011,25.6
48,947,2024-04-05 11:15:40.445375600,83.94,400.41,7.7,398.25,48.66508613619323,9.836218628711402,25.5
49,954,2024-04-05 11:15:40.912043200,86.31,400.18,8.4,398.0,48.66508699377773,9.83620503973013,25.5
50,955,2024-04-05 11:15:40.978710000,86.57,400.22,8.37,398.0,48.665087225447934,9.836201817695216,25.5
51,957,2024-04-05 11:15:41.112043599,87.31,400.14,8.46,398.0,48.66508743429376,9.83619852987696,25.5
52,958,2024-04-05 11:15:41.178710400,87.55,400.19,8.56,398.0,48.66508765659265,9.836195338917928,25.5
53,960,2024-04-05 11:15:41.312044000,88.21,400.08,9.0,397.67,48.66508777135056,9.836192075846244,25.5
54,961,2024-04-05 11:15:41.378710800,88.52,400.05,8.76,397.5,48.6650879940178,9.83618891809016,25.5
55,962,2024-04-05 11:15:41.445377600,88.88,400.02,9.0,397.56,48.66508832029417,9.836185852316628,25.5
56,963,2024-04-05 11:15:41.512044399,89.19,399.96,9.16,397.46,48.66508832029417,9.836185852316628,25.5
57,964,2024-04-05 11:15:41.578711200,89.52,399.97,9.25,397.71,48.66508856181538,9.836182765583732,25.5
58,965,2024-04-05 11:15:41.645378000,89.78,399.98,9.26,397.72,48.66508872724606,9.83617964248323,25.6
59,966,2024-04-05 11:15:41.712044800,90.1,399.97,9.44,398.0,48.66508872724606,9.83617964248323,25.6
60,967,2024-04-05 11:15:41.778711600,90.46,400.01,9.47,398.0,48.66508891360373,9.836176613751736,25.5
61,969,2024-04-05 11:15:41.912045200,90.89,399.96,9.5,398.0,48.665089121717145,9.836173568470649,25.5
62,973,2024-04-05 11:15:42.178712400,92.04,399.89,10.0,397.5,48.66508959426826,9.836164737212544,25.5
63,976,2024-04-05 11:15:42.378712800,92.95,399.84,10.0,397.58,48.66508991047303,9.836159153981049,25.5
64,977,2024-04-05 11:15:42.445379600,93.28,399.87,10.0,397.58,48.66509034498423,9.836155755866743,25.5
65,982,2024-04-05 11:15:42.778713600,94.72,399.97,10.45,398.0,48.665090840027766,9.836147405221348,25.5
66,984,2024-04-05 11:15:42.912047200,95.4,399.96,10.5,398.0,48.66509097271667,9.83614499728124,25.5
67,985,2024-04-05 11:15:42.978714000,95.56,399.98,10.52,398.0,48.66509110991563,9.836142319567168,25.5
68,1000,2024-04-05 11:15:43.978716000,99.75,399.98,11.52,398.0,48.66509237528295,9.836115323598252,25.4
69,1001,2024-04-05 11:15:44.045382800,100.03,399.94,11.61,398.0,48.66509268734601,9.836112752185503,25.4
70,1005,2024-04-05 11:15:44.312050000,101.11,400.0,12.0,398.5,48.66509298301355,9.83610774357255,25.4
71,1007,2024-04-05 11:15:44.445383600,101.66,400.09,12.0,398.62,48.66509316437075,9.836102843595487,25.4
