,nr,datetime,x1,y1,x2,y2,lat,lon,height
2,951,2022-06-23 21:43:02.101767800,404.21,233.72,408.75,478.8,49.42243215159051,11.448050102807684,33.7
3,960,2022-06-23 21:43:02.701769000,374.28,223.86,382.14,463.04,49.42244796113852,11.448052728543017,33.6
4,961,2022-06-23 21:43:02.768435800,371.85,222.59,379.61,461.2,49.42245016413611,11.4480532208042,33.7
5,962,2022-06-23 21:43:02.835102600,369.29,221.8,377.11,459.37,49.42245016413611,11.4480532208042,33.7
6,963,2022-06-23 21:43:02.901769399,366.63,221.1,374.53,457.51,49.42245196494864,11.448053301306947,33.7
7,964,2022-06-23 21:43:02.968436200,363.79,220.48,371.95,455.63,49.42245412590311,11.448053824489197,33.6
8,965,2022-06-23 21:43:03.035103000,360.85,219.85,369.28,453.69,49.42245412590311,11.448053824489197,33.6
9,966,2022-06-23 21:43:03.101769800,357.82,219.22,366.55,451.64,49.42245637265705,11.448054486381649,33.6
10,967,2022-06-23 21:43:03.168436600,354.66,218.5,363.71,449.55,49.42245870911667,11.44805512886283,33.6
11,973,2022-06-23 21:43:03.568437400,335.06,212.36,345.96,435.68,49.4224697470621,11.448057573048928,33.6
12,974,2022-06-23 21:43:03.635104200,331.86,211.28,343.05,433.39,49.4224697470621,11.448057573048928,33.6
13,975,2022-06-23 21:43:03.701771000,328.7,210.21,340.19,431.07,49.42247295191597,11.448058149447528,33.6
14,976,2022-06-23 21:43:03.768437800,325.54,209.14,337.35,428.8,49.42247571014312,11.44805887361667,33.6
15,977,2022-06-23 21:43:03.835104600,322.49,208.08,334.62,426.57,49.42247571014312,11.44805887361667,33.6
16,978,2022-06-23 21:43:03.901771399,319.47,207.1,331.9,424.42,49.42247848080844,11.448058974952938,33.6
17,979,2022-06-23 21:43:03.968438200,316.55,206.12,329.22,422.28,49.42248114624605,11.448059624203031,33.6
18,980,2022-06-23 21:43:04.035105000,313.73,205.19,326.73,420.27,49.42248114624605,11.448059624203031,33.6
19,981,2022-06-23 21:43:04.101771800,311.02,204.33,324.21,418.28,49.42248363362576,11.448059750903,33.6
20,982,2022-06-23 21:43:04.168438600,308.35,203.49,321.8,416.38,49.42248611949781,11.448060322047128,33.6
21,983,2022-06-23 21:43:04.235105400,305.75,202.72,319.44,414.53,49.42248611949781,11.448060322047128,33.6
22,984,2022-06-23 21:43:04.301772200,303.19,201.94,317.14,412.79,49.4224885196389,11.448060408607658,33.6
23,985,2022-06-23 21:43:04.368439000,300.72,201.22,314.9,411.17,49.422490817139305,11.44806090476689,33.6
24,986,2022-06-23 21:43:04.435105800,298.49,200.68,312.88,409.65,49.422490817139305,11.44806090476689,33.6
25,987,2022-06-23 21:43:04.501772600,296.42,200.13,311.01,408.31,49.422492940162485,11.448061242962702,33.6
26,988,2022-06-23 21:43:04.568439400,294.55,199.67,309.34,407.05,49.42249485368966,11.448061608747777,33.6
27,989,2022-06-23 21:43:04.635106200,292.85,199.21,307.8,405.91,49.42249485368966,11.448061608747777,33.6
28,990,2022-06-23 21:43:04.701773000,291.3,198.85,306.38,404.84,49.422496488711175,11.448062033306574,33.6
29,991,2022-06-23 21:43:04.768439800,289.87,198.55,305.07,403.94,49.42249798773503,11.448062223771345,33.6
30,992,2022-06-23 21:43:04.835106600,288.56,198.31,303.91,403.13,49.42249798773503,11.448062223771345,33.6
31,993,2022-06-23 21:43:04.901773400,287.4,198.15,302.85,402.42,49.42249880166512,11.448062562309552,33.6
