x,y,area,max_scoreImg,max_innerToRing,nr
319.0,437.0,1.0,9.0,9.0,56076
320.0,435.0,1.0,11.0,12.0,56077
321.65,433.0,2.0,15.0,13.0,56078
323.41,431.0,2.0,10.0,9.0,56079
324.54,429.49,4.0,12.0,10.0,56080
326.4,428.0,2.0,15.0,13.0,56081
327.78,426.4,5.0,17.0,17.0,56082
272.25,319.73,58.0,104.0,19.0,56083
329.65,425.38,5.0,18.0,17.0,56083
330.54,425.0,2.0,13.0,12.0,56084
331.71,424.0,2.0,17.0,16.0,56085
333.0,423.0,1.0,7.0,6.0,56086
635.0,441.0,1.0,7.0,5.0,56086
335.41,418.0,2.0,10.0,9.0,56088
336.03,415.0,3.0,15.0,14.0,56089
336.41,412.0,2.0,16.0,15.0,56090
335.95,408.23,4.0,14.0,13.0,56091
335.38,405.0,2.0,15.0,14.0,56092
333.74,401.29,3.0,15.0,15.0,56093
331.96,397.98,5.0,17.0,17.0,56094
329.75,395.25,3.0,14.0,13.0,56095
327.37,392.73,3.0,11.0,10.0,56096
325.0,391.0,1.0,9.0,9.0,56097
323.0,389.0,1.0,9.0,8.0,56098
320.0,387.0,1.0,8.0,7.0,56099
318.0,386.0,1.0,11.0,10.0,56100
315.0,385.0,1.0,10.0,10.0,56101
313.0,384.0,1.0,10.0,8.0,56102
311.47,384.0,2.0,10.0,9.0,56103
310.0,384.0,1.0,14.0,14.0,56104
309.0,384.0,1.0,10.0,10.0,56105
308.0,384.0,1.0,8.0,7.0,56106
307.0,384.0,1.0,11.0,12.0,56107
307.0,384.0,1.0,8.0,6.0,56108
248.21,322.66,51.0,101.0,6.0,56109
308.0,384.0,1.0,7.0,8.0,56111
308.0,384.0,1.0,7.0,8.0,56112
309.0,383.0,1.0,9.0,9.0,56113
310.54,382.0,2.0,13.0,12.0,56114
312.0,381.0,1.0,13.0,12.0,56115
313.0,380.0,1.0,10.0,10.0,56116
315.0,378.0,1.0,13.0,12.0,56117
316.61,376.0,2.0,11.0,11.0,56118
438.0,232.0,1.0,7.0,5.0,56119
318.0,374.0,1.0,11.0,10.0,56119
320.0,372.0,1.0,13.0,11.0,56120
321.48,369.0,2.0,11.0,10.0,56121
323.0,366.0,1.0,13.0,11.0,56122
324.31,363.24,3.0,13.0,11.0,56123
325.5,360.0,2.0,12.0,11.0,56124
326.33,356.71,3.0,9.0,8.0,56125
327.47,353.0,2.0,10.0,9.0,56126
328.46,349.43,4.0,17.0,15.0,56127
329.51,345.42,4.0,13.0,12.0,56128
331.0,341.0,1.0,9.0,8.0,56129
332.0,337.0,1.0,7.0,6.0,56130
333.0,333.0,1.0,13.0,13.0,56131
334.0,330.0,1.0,10.0,10.0,56132
336.0,326.0,1.0,8.0,7.0,56134
228.42,324.44,42.0,94.0,10.0,56135
336.0,324.0,1.0,14.0,14.0,56135
244.04,322.66,43.0,97.0,21.0,56136
336.0,323.0,1.0,13.0,12.0,56136
335.6,323.0,2.0,15.0,15.0,56137
335.54,323.0,2.0,21.0,21.0,56138
335.11,324.67,5.0,23.0,22.0,56139
334.4,326.53,4.0,19.0,17.0,56140
333.58,328.68,4.0,20.0,21.0,56141
156.0,330.0,1.0,7.0,7.0,56142
333.0,331.0,1.0,18.0,16.0,56142
332.42,333.5,4.0,13.0,13.0,56143
164.0,331.0,1.0,7.0,5.0,56144
332.3,335.82,3.0,21.0,19.0,56144
168.0,331.0,1.0,8.0,6.0,56145
332.0,338.0,1.0,12.0,11.0,56145
172.0,331.0,1.0,8.0,7.0,56146
332.0,340.59,2.0,10.0,10.0,56146
176.0,331.0,1.0,8.0,7.0,56147
184.0,332.0,1.0,9.0,8.0,56149
333.63,346.0,2.0,12.0,11.0,56149
335.0,348.0,1.0,8.0,8.0,56150
192.0,333.0,1.0,10.0,8.0,56151
336.0,349.0,1.0,15.0,14.0,56151
337.0,350.0,1.0,11.0,10.0,56152
339.0,350.45,2.0,12.0,10.0,56153
341.0,350.41,2.0,10.0,10.0,56154
209.45,335.0,2.0,11.0,9.0,56155
342.0,351.0,1.0,8.0,6.0,56155
344.4,350.0,2.0,12.0,12.0,56156
218.44,336.0,2.0,10.0,6.0,56157
346.0,349.5,2.0,9.0,9.0,56157
223.0,337.0,1.0,10.0,8.0,56158
348.0,349.0,1.0,13.0,11.0,56158
350.0,348.0,1.0,17.0,16.0,56159
232.41,338.0,2.0,10.0,9.0,56160
352.0,346.5,2.0,9.0,8.0,56160
354.0,345.0,1.0,15.0,15.0,56161
242.0,339.0,1.0,12.0,12.0,56162
355.64,343.36,2.0,14.0,12.0,56162
240.47,323.68,53.0,101.0,15.0,56163
247.0,339.0,1.0,9.0,8.0,56163
357.39,342.0,2.0,11.0,11.0,56163
258.39,321.44,49.0,100.0,8.0,56164
252.0,340.0,1.0,12.0,11.0,56164
359.38,340.21,3.0,16.0,15.0,56164
279.44,318.77,52.0,101.0,9.0,56165
361.29,339.31,3.0,14.0,12.0,56165
257.0,340.0,1.0,10.0,9.0,56165
362.49,339.21,3.0,19.0,19.0,56166
262.0,341.0,1.0,7.0,7.0,56166
364.0,339.59,2.0,17.0,16.0,56167
267.6,341.0,2.0,12.0,12.0,56167
365.0,340.0,1.0,14.0,14.0,56168
273.0,341.0,1.0,10.0,10.0,56168
365.9,341.32,5.0,28.0,26.0,56169
278.42,342.0,2.0,11.0,9.0,56169
