nr,datetime
0,2022-06-25 21:18:04.944887000
1,2022-06-25 21:18:05.011553800
2,2022-06-25 21:18:05.078220600
3,2022-06-25 21:18:05.144887400
4,2022-06-25 21:18:05.211554200
5,2022-06-25 21:18:05.278221000
6,2022-06-25 21:18:05.344887800
7,2022-06-25 21:18:05.411554600
8,2022-06-25 21:18:05.478221400
9,2022-06-25 21:18:05.544888200
10,2022-06-25 21:18:05.611555000
11,2022-06-25 21:18:05.678221800
12,2022-06-25 21:18:05.744888600
13,2022-06-25 21:18:05.811555400
14,2022-06-25 21:18:05.878222200
15,2022-06-25 21:18:05.944889000
16,2022-06-25 21:18:06.011555800
17,2022-06-25 21:18:06.078222600
18,2022-06-25 21:18:06.144889400
19,2022-06-25 21:18:06.211556200
20,2022-06-25 21:18:06.278223000
21,2022-06-25 21:18:06.344889800
22,2022-06-25 21:18:06.411556600
23,2022-06-25 21:18:06.478223400
24,2022-06-25 21:18:06.544890200
25,2022-06-25 21:18:06.611557000
26,2022-06-25 21:18:06.678223800
27,2022-06-25 21:18:06.744890600
28,2022-06-25 21:18:06.811557400
29,2022-06-25 21:18:06.878224200
30,2022-06-25 21:18:06.944891000
31,2022-06-25 21:18:07.011557800
32,2022-06-25 21:18:07.078224600
33,2022-06-25 21:18:07.144891400
34,2022-06-25 21:18:07.211558200
35,2022-06-25 21:18:07.278225000
36,2022-06-25 21:18:07.344891800
37,2022-06-25 21:18:07.411558600
38,2022-06-25 21:18:07.478225400
39,2022-06-25 21:18:07.544892200
40,2022-06-25 21:18:07.611559000
41,2022-06-25 21:18:07.678225800
42,2022-06-25 21:18:07.744892600
43,2022-06-25 21:18:07.811559400
44,2022-06-25 21:18:07.878226200
45,2022-06-25 21:18:07.944893000
46,2022-06-25 21:18:08.011559800
47,2022-06-25 21:18:08.078226600
48,2022-06-25 21:18:08.144893400
49,2022-06-25 21:18:08.211560200
50,2022-06-25 21:18:08.278227000
51,2022-06-25 21:18:08.344893800
52,2022-06-25 21:18:08.411560600
53,2022-06-25 21:18:08.478227400
54,2022-06-25 21:18:08.544894200
55,2022-06-25 21:18:08.611561000
56,2022-06-25 21:18:08.678227800
57,2022-06-25 21:18:08.744894600
58,2022-06-25 21:18:08.811561400
59,2022-06-25 21:18:08.878228200
60,2022-06-25 21:18:08.944895000
61,2022-06-25 21:18:09.011561800
62,2022-06-25 21:18:09.078228600
63,2022-06-25 21:18:09.144895400
64,2022-06-25 21:18:09.211562200
65,2022-06-25 21:18:09.278229000
66,2022-06-25 21:18:09.344895800
67,2022-06-25 21:18:09.411562600
68,2022-06-25 21:18:09.478229400
69,2022-06-25 21:18:09.544896200
70,2022-06-25 21:18:09.611563000
71,2022-06-25 21:18:09.678229800
72,2022-06-25 21:18:09.744896600
73,2022-06-25 21:18:09.811563400
74,2022-06-25 21:18:09.878230200
75,2022-06-25 21:18:09.944897000
76,2022-06-25 21:18:10.011563800
77,2022-06-25 21:18:10.078230600
78,2022-06-25 21:18:10.144897400
79,2022-06-25 21:18:10.211564200
80,2022-06-25 21:18:10.278231000
81,2022-06-25 21:18:10.344897800
82,2022-06-25 21:18:10.411564600
83,2022-06-25 21:18:10.478231400
84,2022-06-25 21:18:10.544898200
85,2022-06-25 21:18:10.611565000
86,2022-06-25 21:18:10.678231800
87,2022-06-25 21:18:10.744898600
88,2022-06-25 21:18:10.811565400
89,2022-06-25 21:18:10.878232200
90,2022-06-25 21:18:10.944899000
91,2022-06-25 21:18:11.011565800
92,2022-06-25 21:18:11.078232600
93,2022-06-25 21:18:11.144899400
94,2022-06-25 21:18:11.211566200
95,2022-06-25 21:18:11.278233000
96,2022-06-25 21:18:11.344899800
97,2022-06-25 21:18:11.411566600
98,2022-06-25 21:18:11.478233400
99,2022-06-25 21:18:11.544900200
100,2022-06-25 21:18:11.611567000
101,2022-06-25 21:18:11.678233800
102,2022-06-25 21:18:11.744900600
103,2022-06-25 21:18:11.811567400
104,2022-06-25 21:18:11.878234200
105,2022-06-25 21:18:11.944901000
106,2022-06-25 21:18:12.011567800
107,2022-06-25 21:18:12.078234600
108,2022-06-25 21:18:12.144901400
109,2022-06-25 21:18:12.211568200
110,2022-06-25 21:18:12.278235000
111,2022-06-25 21:18:12.344901800
112,2022-06-25 21:18:12.411568600
113,2022-06-25 21:18:12.478235400
114,2022-06-25 21:18:12.544902200
115,2022-06-25 21:18:12.611569000
116,2022-06-25 21:18:12.678235800
117,2022-06-25 21:18:12.744902600
